芠代丁(day),放(),程蔼放(),程放(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObsTime,Temperature,T Max,T Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25.2,31.1,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26,31.4,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26.5,29.7,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27.7,32.3,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.6,26.9,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24.2,28.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27.9,32.4,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26.7,30.8,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27.6,32.1,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,28.8,32.4,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29.4,35.4,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,30,37,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,30.1,34.1,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,29.8,33.7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,29.7,34.7,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,30.9,35.9,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30.3,34.6,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,29,32.6,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28.9,34.5,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29.8,35.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29.7,35.3,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29.1,34,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30.2,35.5,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,28.2,34.6,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26.8,32.3,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,29.6,33.6,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,31.2,37.6,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,31.1,38.2,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,26.5,28,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,26.2,28.7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,24.4,25.9,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
